Filename,actual # notes,detected # notes
clean_01,7,
clean_02,7,
clean_03,5,
clean_04,8,
clean_05,7,
clean_06,5,
clean_07,9,
clean_08,7,
clean_09,7,
clean_10,5,
clean_11,7,
clean_12,7,
clean_13,8,
clean_14,7,
clean_15,10,
clean_16,13,
clean_17,11,
clean_18,7,
clean_19,7,
clean_20,8,
clean_21,12,
clean_22,8,
clean_23,8,
clean_24,12,
clean_25,10,
clean_26,10,
clean_27,7,
clean_28,15,
clean_29,7,
clean_30,8,
clean_31,10,
clean_32,8,
clean_33,8,
clean_34,10,
clean_35,7,
clean_36,7,
clean_37,7,
clean_38,11,
clean_39,8,
clean_40,8,
clean_41,11,
clean_42,7,
clean_43,8,
clean_44,8,
clean_45,10,
clean_46,8,
clean_47,8,
clean_48,12,
clean_49,13,
clean_50,14,
